  Sample cyc Lab
1 0.598 PicrylChloride
2 0.614 PicrylChloride
3 0.6 PicrylChloride
4 0.58 PicrylChloride
5 0.596 PicrylChloride
6 0.592 PicrylChloride
7 0.616 PicrylChloride
8 0.614 PicrylChloride
9 0.604 PicrylChloride
10 0.608 PicrylChloride
11 0.602 PicrylChloride
12 0.614 PicrylChloride
1 0.628 Davies
2 0.628 Davies
3 0.6 Davies
4 0.612 Davies
5 0.6 Davies
6 0.628 Davies
7 0.628 Davies
8 0.644 Davies
9 0.644 Davies
10 0.612 Davies
11 0.628 Davies
12 0.644 Davies
1 0.632 AOAC
2 0.63 AOAC
3 0.622 AOAC
4 0.584 AOAC
5 0.65 AOAC
6 0.606 AOAC
7 0.644 AOAC
8 0.644 AOAC
9 0.624 AOAC
10 0.619 AOAC
11 0.632 AOAC
12 0.616 AOAC
